hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
18720	7	9	5	52	31	468	236.79	0.5060	0.1122	0.3938	4	5
18720	7	9	6	50	30	430	227.28	0.5286	0.1753	0.3533	4	5
18720	7	9	7	50	28	440	63.68	0.1447	0.1562	-0.0114	2	5
18720	7	9	8	50	31	429	193.92	0.4520	0.1086	0.3435	3	5
18720	7	9.5	3	52	28	420	-32.54	-0.0775	-0.2041	0.1266	3	5
18720	7	9.5	4	52	32	373	187.82	0.5035	0.0424	0.4611	4	5
18720	7	9.5	5	51	30	447	247.08	0.5528	0.0337	0.5191	4	5
18720	7	9.5	6	52	31	415	253.11	0.6099	0.1318	0.4781	4	5
18720	7	9.5	7	52	30	418	284.79	0.6813	0.1650	0.5164	5	5
18720	7	9.5	8	52	31	399	359.22	0.9003	0.1443	0.7560	5	5
18720	7	10	3	52	28	414	19.53	0.0472	-0.1349	0.1820	3	5
18720	7	10	4	51	30	380	289.66	0.7623	0.0388	0.7235	4	5
18720	7	10	5	51	29	417	270.30	0.6482	0.0879	0.5603	4	5
18720	7	10	6	52	31	410	331.81	0.8093	0.1915	0.6177	5	5
18720	7	10	7	53	29	412	229.10	0.5561	0.2071	0.3490	4	5
18720	7	10	8	52	29	405	287.00	0.7086	0.2629	0.4457	5	5
18720	8	8	3	52	25	366	46.70	0.1276	-0.2057	0.3333	3	5
18720	8	8	4	52	30	360	156.26	0.4341	0.0813	0.3528	3	5
18720	8	8	5	53	30	449	259.02	0.5769	0.1396	0.4373	4	5
18720	8	8	6	52	30	419	237.62	0.5671	0.1377	0.4294	4	5
18720	8	8	7	53	26	412	247.39	0.6005	0.2113	0.3892	4	5
18720	8	8	8	54	29	431	245.90	0.5705	0.2417	0.3288	3	5
18720	8	8.5	3	51	26	387	39.72	0.1026	-0.2516	0.3542	4	5
18720	8	8.5	4	51	29	359	127.77	0.3559	0.1267	0.2292	3	5
18720	8	8.5	5	53	30	457	196.97	0.4310	0.1411	0.2899	3	5
18720	8	8.5	6	50	30	407	116.97	0.2874	0.1065	0.1809	4	5
18720	8	8.5	7	51	25	390	135.32	0.3470	0.0775	0.2695	5	5
18720	8	8.5	8	50	25	394	218.80	0.5553	0.2044	0.3509	3	5
18720	8	9	3	50	26	390	47.47	0.1217	-0.2718	0.3935	4	5
18720	8	9	4	51	32	367	143.60	0.3913	0.1051	0.2862	3	5
18720	8	9	5	53	30	505	291.15	0.5765	0.1255	0.4510	4	5
18720	8	9	6	50	33	421	175.62	0.4172	0.1210	0.2962	4	5
18720	8	9	7	52	30	407	240.22	0.5902	0.2080	0.3822	5	5
18720	8	9	8	50	28	392	247.19	0.6306	0.2059	0.4246	5	5
18720	8	9.5	3	52	29	452	102.59	0.2270	-0.1618	0.3887	3	5
18720	8	9.5	4	52	32	359	234.40	0.6529	0.0872	0.5657	4	5
18720	8	9.5	5	53	30	472	441.12	0.9346	0.1220	0.8126	5	5
18720	8	9.5	6	49	33	410	335.78	0.8190	0.1767	0.6423	4	5
18720	8	9.5	7	49	24	380	136.80	0.3600	0.1625	0.1975	4	5
18720	8	9.5	8	48	23	374	172.99	0.4626	0.1819	0.2806	5	5
18720	8	10	3	53	26	424	10.03	0.0236	-0.1281	0.1517	3	5
18720	8	10	4	52	30	359	216.75	0.6038	0.0618	0.5420	4	5
18720	8	10	5	53	31	461	446.41	0.9684	0.1464	0.8220	5	5
18720	8	10	6	49	32	392	393.64	1.0042	0.2211	0.7831	4	5
18720	8	10	7	50	27	363	313.07	0.8624	0.1336	0.7288	5	5
18720	8	10	8	48	25	367	276.04	0.7521	0.1876	0.5645	4	5
20160	4	8	3	50	24	343	78.80	0.2297	-0.1298	0.3596	4	5
20160	4	8	4	52	28	365	99.11	0.2715	-0.1257	0.3973	4	5
20160	4	8	5	51	32	357	214.64	0.6012	-0.0595	0.6608	5	5
20160	4	8	6	51	32	352	190.11	0.5401	-0.0617	0.6018	5	5
20160	4	8	7	51	33	376	232.08	0.6172	-0.0864	0.7036	5	5
20160	4	8	8	51	33	383	230.06	0.6007	-0.0745	0.6752	5	5
20160	4	8.5	3	49	23	334	10.62	0.0318	-0.1328	0.1645	3	5
20160	4	8.5	4	50	27	347	-50.62	-0.1459	-0.1460	0.0001	3	5
